       -12          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.891          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.783          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.674          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.566          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.457          0     1.5545          0          0          0          0          0          0 3.2558e-17     2.8267     31.547 1.3297e-07     3.7319    0.21354     2.1617          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.349          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
    -11.24          0     1.5545          0          0          0          0          0          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.131          0     1.5545          0          0          0          0          0          0 0.00039992     2.8267     2.1293 1.4716e-08      3.892    0.76563     4.4302          0 2.1639e-16     2.9794     30.199 3.5863e-07     3.4518    0.21354     1.4427          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -11.023          0     1.5545          0          0          0          0          0          0 6.2961e-11     2.8267     17.981 3.5923e-07     3.6519    0.25521     7.5494          0 4.9033e-08     2.9794     11.214  4.499e-08     2.4514    0.90104    0.16062          0 7.0818e-13     2.3997     22.607 5.8874e-07     3.5719    0.26562      4.419          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -10.914 1.2741e-18     1.5545     36.415 4.2981e-08     2.3314    0.14063     5.1249          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -10.806  5.148e-09     1.5545      14.64  2.168e-06     3.4518    0.55729     5.4536          0          0     2.8267          0          0          0          0          0          0          0     2.9794          0          0          0          0          0          0          0     2.3997          0          0          0          0          0          0  0.0011697     1.6442     2.1764 3.2322e-07     3.6519    0.72396     1.4066          0          0     1.1618          0          0          0          0          0          0 
   -10.697          0     1.5545          0          0          0          0          0          0 3.7531e-14     2.8267     25.903 4.1548e-07     3.2918    0.22396     7.6767          0          0     2.9794          0          0          0          0          0          0   0.002004     2.3997      1.345 6.7032e-06     3.5317    0.53629     2.5345          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -10.589  6.381e-17     1.5545     33.106 1.9106e-07     3.1317    0.81771     3.9024          0  0.0090265     2.8267    0.03032 1.5144e-09     3.6519    0.95312     5.0388          0 8.4677e-15     2.9794     27.997 7.0926e-06     3.1948    0.35006    0.78905          0          0     2.3997          0          0          0          0          0          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
    -10.48 1.6497e-10     1.5545      19.17 1.7273e-06     3.2121    0.61704     1.3133          0 5.0907e-05     2.8267      5.375  3.793e-07     3.0485    0.18312    0.93538          0 0.00045126     2.9794     3.0609 5.0613e-06     3.1356    0.35749     3.5334          0 8.1135e-06     2.3997     7.4173 3.2695e-06     3.2918    0.46354      2.841          0          0     1.6442          0          0          0          0          0          0          0     1.1618          0          0          0          0          0          0 
   -10.371 5.5069e-11     1.5545     20.648 1.4273e-06     2.8357    0.25275     5.8111          0 6.2819e-07     2.8267     9.7815 9.8853e-08     2.3716    0.84893    0.41931          0 8.3658e-06     2.9794     7.1422 1.0473e-07     2.6115    0.15105     1.6508          0 7.7802e-05     2.3997     5.1928 6.7126e-07     2.3714     0.1719   0.033422          0          0     1.6442          0          0          0          0          0          0 6.5352e-05     1.1618     6.0775 1.8734e-06     3.2117    0.80729     3.2601          0 
   -10.263  0.0036392     1.5545     1.9514 1.5603e-06     3.0517    0.73437     2.0379          0  0.0011011     2.8267     2.5959 3.4991e-06     3.4118    0.36982     7.1458          0 1.5208e-06     2.9794     9.1849 4.7911e-07     2.7769    0.80464     1.0017          0  0.0049422     2.3997     1.4089 2.9836e-06     3.2357    0.24354     1.3573          0   0.015057     1.6442    0.45434 1.2763e-06     3.2117    0.79687   0.063861          0 1.3965e-07     1.1618     13.112 3.6231e-06     3.1729    0.36832     3.3142          0 
